rep,nullA_T,nullB_T,nullA_qSpearman,nullB_qSpearman,nullA_T_d2,nullA_T_d3,nullA_T_d4,nullA_T_d5,nullA_T_d6,nullA_T_d7,nullA_T_d8,nullA_T_d9,nullA_T_d10,nullA_T_d11
1,0.004686,0.001014,0.032771,0.025542,0.003598,-0.000349,0.001471,0.002582,0.004165,0.001921,-3.8e-05,0.003528,0.0023,-0.00032
2,0.001709,0.000794,0.027379,0.025171,0.00182,0.001127,0.001065,0.001918,0.004983,0.003817,0.004998,0.007614,-0.000252,0.00349
3,0.003726,9.2e-05,0.028989,0.023518,0.001569,0.002093,0.001555,0.002541,0.003005,0.006124,0.002664,0.00071,-0.000259,-0.002963
4,0.002946,0.001162,0.029053,0.02476,0.001147,0.004571,0.004233,0.003463,0.001193,0.001433,0.00195,-0.000672,0.00159,-0.00296
5,0.004001,0.000404,0.030233,0.024746,0.000412,0.004851,0.001873,0.00389,-0.000694,0.001595,0.003814,0.003436,-0.001707,0.003617
6,0.001954,0.000517,0.027962,0.023799,0.002444,0.005654,0.001475,0.001763,0.00095,0.000673,0.003599,0.006864,0.002466,-0.006383
7,0.000775,9.6e-05,0.027717,0.022099,0.002913,0.003247,0.002268,0.00115,0.004843,0.001488,0.004988,0.003778,0.001762,-0.000794
8,0.004124,-0.002261,0.028558,0.025946,0.001559,0.001398,0.002116,0.00234,0.001646,0.003229,0.000581,0.004026,0.003026,0.010249
9,0.004016,-0.001014,0.02881,0.024625,0.004681,0.001117,0.004507,-0.000641,0.002158,-0.000608,0.002123,0.003365,-0.001666,0.005752
10,0.003155,-0.002187,0.028516,0.022996,0.001922,0.003391,0.001394,0.00419,0.00304,0.001206,0.004235,-0.002648,-0.000417,0.00617
11,0.00163,-0.000417,0.028154,0.02317,0.005612,0.003924,0.00022,0.002158,0.002405,0.001029,0.000797,8.3e-05,0.004429,0.005523
12,0.001532,-0.00081,0.028179,0.022417,0.005427,0.000203,0.004167,0.001837,0.001971,0.000222,0.003614,0.005382,0.000873,-0.000948
13,0.002695,-0.000793,0.028791,0.02478,0.003856,0.002682,0.001148,0.002697,0.003316,0.003227,0.002861,0.000759,-0.003902,0.00143
14,0.002202,7.6e-05,0.028456,0.025517,0.003758,0.002444,0.003572,0.001454,-0.001444,0.003761,0.008244,0.000307,-0.001407,-0.000224
15,0.003179,0.000769,0.027484,0.024389,0.002693,0.001484,0.002127,0.001578,0.005479,0.00153,-0.001111,0.003619,0.003757,0.005746
16,0.00344,-0.000576,0.025947,0.02513,0.00074,0.003657,0.002377,0.000961,0.003558,0.004804,0.005028,0.001337,-0.002622,-0.004376
17,0.002259,0.000752,0.028149,0.025396,0.004727,0.001969,0.003707,0.00126,0.00061,0.003405,0.0046,0.000725,-0.003389,0.000818
18,0.00136,-0.000417,0.028986,0.024251,0.002389,0.002805,0.003855,0.003347,0.000701,0.004358,0.003644,0.000958,0.001488,-0.001221
19,0.002227,0.000131,0.026816,0.025695,0.002007,0.002395,0.002393,0.003113,-0.000256,0.006376,0.004443,0.002403,0.000931,-0.000712
20,0.002638,0.000186,0.027517,0.026055,0.002699,0.004381,0.00309,0.003532,0.001944,-0.00072,0.000411,-8.3e-05,0.004456,0.000301
21,0.002692,0.000727,0.02781,0.024437,0.005463,-0.000383,0.001037,0.003507,0.003991,0.000358,9.3e-05,0.00646,0.004199,-0.003956
22,0.002701,0.001121,0.028576,0.024316,-0.000153,0.003187,0.007245,0.00225,0.002744,-0.001391,0.001841,0.002565,0.00388,0.000618
23,0.002885,-0.000994,0.0259,0.02419,0.001308,0.002318,0.000989,8.3e-05,0.004042,0.002875,0.00651,0.003032,0.003136,0.009304
24,0.002172,6.7e-05,0.02763,0.022667,0.0054,-0.00158,0.001525,9.9e-05,0.003668,0.004743,0.002717,0.007841,0.004861,-0.002659
25,0.0014,-0.00216,0.027401,0.022125,0.002824,0.004129,0.001177,0.001221,0.002715,0.003209,0.001363,0.0012,0.005113,0.01335
26,0.004057,-0.00057,0.03125,0.025639,0.001096,0.001853,0.000676,0.003707,0.002916,0.003241,0.004802,0.000986,-0.001196,0.006654
27,0.004354,-0.003718,0.029507,0.024065,0.002737,0.003674,-0.001994,0.005623,0.00064,0.001029,0.001095,0.001915,0.005488,0.001706
28,0.002461,0.000254,0.028057,0.022387,0.004383,0.003376,0.003892,0.001894,0.001423,0.001198,0.000356,-0.000149,-0.001481,0.005376
29,0.002103,-0.000109,0.028232,0.023332,0.003614,0.002845,0.002289,0.003473,0.00213,-0.000273,0.00352,0.004311,0.000694,-0.003694
30,0.003128,-0.000628,0.02898,0.023924,0.005982,0.003982,-0.001597,0.000156,0.002981,0.000833,0.000446,0.002322,0.003311,0.007713
31,0.001383,-0.00127,0.02887,0.024483,0.006664,-0.002525,0.00468,0.00105,0.002964,0.002466,0.004073,0.005719,-0.002102,0.000286
32,9.1e-05,-0.001167,0.028419,0.021341,0.002104,0.005151,0.002682,0.002112,0.002093,0.00399,0.003793,0.000625,0.003004,0.003455
33,0.003456,0.000981,0.027021,0.024222,0.00282,0.000625,0.004343,0.003221,0.00143,0.00074,0.005708,-0.001702,-0.000917,0.006217
34,0.000667,-0.002389,0.027736,0.022945,0.003658,0.001876,0.002354,0.003577,0.00216,0.002317,0.006438,0.003008,0.000156,-0.000722
35,0.003361,-0.00058,0.029423,0.022571,0.004796,0.002388,0.00143,0.002334,0.000816,0.002262,0.003449,-0.000262,-0.003068,0.006228
36,0.001875,-0.000244,0.029966,0.022538,0.001733,0.004439,0.002773,0.002743,-0.00035,0.004144,-0.000824,0.006551,0.001929,0.005408
37,0.004028,-0.0002,0.02893,0.025142,0.002981,0.002755,0.001899,0.000685,0.002755,0.007928,-0.003187,-0.001916,0.001947,0.003128
38,0.005293,-0.000499,0.030228,0.02489,0.001404,0.002267,0.000999,0.003807,0.000434,0.002746,0.000906,-0.001519,0.004367,0.012372
39,0.004686,0.000244,0.030091,0.023827,0.001132,0.000803,0.000304,0.004125,0.008073,-0.000451,0.004301,0.001708,-0.002641,-0.001103
40,0.001821,-0.001172,0.027701,0.024261,0.001368,0.003017,0.002753,0.005801,0.002447,-6e-06,-0.001137,0.003309,0.004634,0.01078
41,0.003062,0.001356,0.030289,0.025522,0.003522,0.002487,0.002768,0.00022,0.001535,0.005445,2.3e-05,0.005533,-0.00019,-0.004172
42,0.002595,-0.000301,0.030791,0.02239,-0.000333,0.003947,0.002501,0.003689,0.003317,0.001022,0.002405,0.005997,0.001794,0.000767
43,0.002473,0.000161,0.027476,0.023148,0.002244,0.00152,0.001685,0.001939,0.005197,0.002918,0.001761,0.005565,0.001378,0.000826
44,0.00065,-0.000985,0.029679,0.023078,0.004141,0.001364,0.004082,0.001837,0.002947,0.002846,0.003642,0.004013,-0.001025,0.000799
45,0.00239,-5e-06,0.029959,0.024462,0.000923,0.00279,0.003628,0.001726,0.00278,0.004197,-0.000678,0.003206,0.005658,0.005973
46,0.004726,0.000494,0.028593,0.025312,0.002098,0.001025,0.001943,0.001136,-0.000567,0.005646,0.00211,0.006136,0.001233,0.004342
47,-0.00039,6.2e-05,0.026241,0.025542,0.005088,-0.00074,0.001457,0.004944,0.005305,0.000446,0.002249,0.00792,0.002972,0.004753
48,0.000479,0.001538,0.02925,0.024903,0.00287,0.002358,0.004603,0.003783,0.00425,0.000941,-0.000328,0.000166,0.00479,0.006066
49,0.003229,-0.000637,0.028708,0.022055,0.002726,0.002265,0.00013,0.002435,0.002216,-0.000167,0.003742,0.005893,0.002596,0.012043
50,0.002415,-0.001685,0.026136,0.023465,0.003247,0.001488,0.002897,0.005981,0.000773,0.003019,-0.000741,0.000331,0.001911,0.004513
51,0.001445,-0.000362,0.027241,0.024977,0.002058,0.002399,0.002112,0.002544,0.003039,0.00486,0.000221,0.004733,0.005051,0.003137
52,0.001032,-0.003492,0.029471,0.022425,0.001931,0.001895,0.005157,0.002365,0.001204,0.001581,0.006366,0.00347,-0.001846,0.010725
53,0.003863,-0.000807,0.028703,0.02418,0.00162,0.002461,0.004346,0.003098,0.001499,-0.000216,-0.000603,0.004349,0.002009,0.003631
54,0.002976,-0.000186,0.029301,0.023816,0.001429,0.003004,0.001998,0.004698,0.000465,0.004686,-0.002493,0.00677,0.003239,-0.002288
55,0.00348,0.001482,0.029835,0.024031,0.000872,0.000663,0.003456,0.001864,0.00198,0.00142,0.001086,0.00754,0.011329,0.001335
56,0.002812,-0.001876,0.028263,0.022469,0.002035,0.000672,0.002916,0.000563,0.003836,0.003576,0.00404,0.003948,0.003227,0.003641
57,0.002095,-0.001342,0.028439,0.022698,0.002121,0.000711,0.001578,0.001947,0.003853,0.00289,0.008217,0.004197,0.002242,-0.000979
58,0.00185,-0.000966,0.027197,0.023052,0.003077,0.001114,0.003001,0.005492,0.003455,0.002353,0.000101,0.000673,0.004181,-0.003361
59,0.003138,-0.000403,0.027911,0.024195,0.001528,0.002845,0.001851,0.004313,0.001916,0.004244,0.001599,0.000738,-0.003985,0.009835
60,0.005939,-0.001071,0.030614,0.02445,0.001663,0.001919,0.000804,-0.000551,0.004504,0.000209,0.001412,0.003587,0.009089,-0.000654
61,0.0013,-0.001515,0.028625,0.022951,0.003391,0.001052,0.005597,0.002189,0.000218,0.00204,0.00088,0.005231,0.003481,0.008199
62,0.002775,0.000434,0.028884,0.023908,-0.000753,0.003937,0.003735,0.001193,0.005601,0.000629,0.000959,0.007463,-0.000706,0.005436
63,0.001353,0.001787,0.027095,0.022348,0.001227,0.002967,0.001449,0.002327,0.003163,0.005552,0.005688,0.000843,0.004016,0.001755
64,0.001198,-0.001134,0.028187,0.022475,0.001786,0.002664,0.003812,0.00243,0.004312,0.003105,0.004817,0.00038,-0.000897,0.000943
65,0.000533,0.000105,0.029192,0.022441,0.002831,0.000793,0.001833,0.004677,0.007051,0.000773,0.001,0.003061,0.003602,0.008361
66,-0.001601,0.001587,0.025834,0.024632,0.003916,0.004553,0.001133,0.002295,0.00334,0.001976,0.004549,0.005466,0.003763,0.003922
67,0.002697,0.000372,0.02943,0.025674,0.003789,0.002687,0.001624,0.001229,0.003822,0.003586,0.000866,-0.002992,0.002854,0.009304
68,0.003037,0.000825,0.029234,0.026367,0.000371,0.002423,0.005874,0.002661,0.000181,0.003258,0.002972,0.001141,0.001704,0.002945
69,0.0025,-0.00163,0.028023,0.022242,0.002837,0.001418,0.00202,0.00308,0.006189,-0.000349,0.001402,0.005248,0.000755,-0.000871
70,0.001133,0.002758,0.027472,0.025785,-0.000747,0.005461,0.003153,0.005218,0.00214,0.003766,0.002962,0.001244,-0.004499,0.009409
71,0.00012,0.001539,0.028808,0.026035,0.003323,0.002723,0.001096,0.0058,0.002054,0.002932,0.004502,-0.001932,0.006211,0.00354
72,0.000554,0.000159,0.028894,0.025835,0.003475,0.003906,0.001154,0.002564,0.002529,0.002684,0.002577,0.004956,0.000902,0.005073
73,0.002646,-0.000303,0.025939,0.022188,0.000659,0.000271,0.003205,0.004144,0.003877,0.002902,0.00038,0.005085,0.002707,0.010842
74,0.000113,0.00136,0.027433,0.022963,0.003424,0.001557,0.003544,0.004154,0.002466,0.004356,0.003296,-0.000568,0.004038,0.00055
75,0.001658,0.001444,0.027526,0.025086,0.001615,0.000719,0.003591,0.001838,0.003798,0.005552,0.004464,0.003493,-0.002248,0.006814
76,0.002113,0.000298,0.029117,0.023147,0.001074,0.005243,0.001813,0.000147,0.001782,0.0046,0.001822,0.007574,0.002672,-0.002192
77,0.002652,-0.000392,0.025958,0.023191,0.00265,0.001784,0.000491,0.003802,0.001727,0.003048,0.005573,0.003003,-0.002076,0.008598
78,0.002831,-0.002241,0.028809,0.0263,0.002954,0.003463,0.000764,0.001214,0.002389,0.004342,0.003551,0.00044,0.003276,-0.001111
79,0.001617,0.002128,0.027026,0.025798,0.004189,-0.001349,0.000812,0.004898,0.004782,0.003729,0.00153,0.002308,0.00399,0.006986
80,0.00416,0.00062,0.029077,0.025863,0.001424,0.000248,0.004445,0.002365,0.000972,0.002406,0.000961,0.005713,0.001904,0.006642
81,0.003,-0.000502,0.030803,0.023534,0.004015,0.000153,0.003626,0.003966,0.004638,0.001712,-0.002438,-0.000422,-0.000146,0.007116
82,0.005831,-0.001633,0.028792,0.021469,0.002309,0.000511,0.001872,0.003534,0.001273,0.003311,-0.000959,0.002644,0.002099,-0.000569
83,0.001183,-0.00061,0.026715,0.025163,0.002856,0.002884,0.003169,0.004373,0.000771,0.006799,-0.000137,0.001613,-0.003332,0.003889
84,0.002279,0.000981,0.028926,0.022748,0.003734,0.001422,0.002814,0.003959,-0.000687,0.003054,0.004575,0.004054,-0.000776,-0.001856
85,0.002528,0.000314,0.028019,0.022708,0.001269,0.0027,1e-05,0.002005,0.005722,0.003247,0.003283,0.00397,0.006493,-0.003708
86,0.002792,-0.000522,0.027748,0.025644,0.002231,0.002947,0.00314,0.000872,0.001317,0.002367,0.000324,0.005527,0.004868,0.005434
87,0.007105,0.001449,0.029888,0.02605,0.002172,0.000182,-0.000644,0.002,0.002654,0.002744,0.003648,0.002798,-0.002541,0.005629
88,0.002254,-0.000119,0.028682,0.022478,0.003709,0.004513,0.000664,0.004153,-0.001082,0.003517,0.003106,-0.000473,0.005526,-0.00657
89,0.002618,-0.000953,0.027788,0.023977,0.001617,-0.002044,0.00352,0.005696,0.003794,0.002782,0.00323,0.003324,0.00667,-0.004
90,0.000212,-0.002012,0.028602,0.023465,0.002901,0.000342,0.004052,0.003894,0.003228,0.001807,0.00453,0.007546,-0.004525,0.009457
91,0.000972,0.002054,0.026189,0.025932,0.003132,0.002003,0.004308,0.002976,0.000431,-0.000539,0.003216,0.004049,0.006724,0.009909
92,0.003905,-0.001758,0.027868,0.023284,0.001512,0.00151,0.002478,0.005045,0.003023,0.002083,-0.001173,0.004377,-0.000444,0.00066
93,0.002625,0.0017,0.030611,0.022694,0.000929,0.002967,0.003805,0.00171,0.003508,0.004032,0.001655,0.002598,0.004118,-0.007611
94,0.002996,-0.000686,0.027881,0.024968,0.002618,0.001949,0.001142,0.002551,0.001652,0.001904,0.000601,0.005277,0.006171,0.009959
95,0.003517,-0.000508,0.028149,0.024757,0.000838,-0.0002,0.003233,0.002377,0.005996,-0.002875,0.007465,0.002371,0.003901,0.009529
96,0.001188,0.000853,0.028666,0.024782,0.003686,0.002095,0.004919,0.002737,0.003075,-0.000744,0.003066,0.003332,-0.000339,-1e-05
